,company,job,location,count
0,Bautherm Flachdach Spenglerei AG,Abdichter/in EFZ,Aarburg (AG),"
1 Lehrstelle(n)
"
1,Abdichtungsbau Durrer AG,Abdichter/in EFZ,Alpnach Dorf (OW),"
2 Lehrstelle(n)
"
2,Riget Dach AG,Abdichter/in EFZ,Bilten (GL),"
2 Lehrstelle(n)
"
3,VISETTI ISOLAZIONI SAGL,Abdichter/in EFZ,Cadro (TI),"
1 Lehrstelle(n)
"
4,ANTONIO CORTI SA,Abdichter/in EFZ,Caslano (TI),"
2 Lehrstelle(n)
"
5,Schoop + Co. AG,Abdichter/in EFZ,Dättwil AG (AG),"
3 Lehrstelle(n)
"
6,Ackermann AG,Abdichter/in EFZ,Düdingen (FR),"
1 Lehrstelle(n)
"
7,Boretti AG,Abdichter/in EFZ,Erlen (TG),"
1 Lehrstelle(n)
"
8,Etanchéité Camélique SA,Abdichter/in EFZ,Farvagny-le-Grand (FR),"
1 Lehrstelle(n)
"
9,Schwager Bedachungen AG,Abdichter/in EFZ,Fischingen (TG),"
1 Lehrstelle(n)
"
10,Geneux Dancet SA,Abdichter/in EFZ,Freiburg (FR),"
1 Lehrstelle(n)
"
11,Jacober + Elmer Bedachungen AG,Abdichter/in EFZ,Glarus (GL),"
1 Lehrstelle(n)
"
12,Kündig Josef AG,Abdichter/in EFZ,Ibach (SZ),"
1 Lehrstelle(n)
"
13,Mathis Flachdach AG,Abdichter/in EFZ,Kägiswil (OW),"
1 Lehrstelle(n)
"
14,ETSA Etanchéité SA,Abdichter/in EFZ,Matran (FR),"
1 Lehrstelle(n)
"
15,Buholzer Marcel AG,Abdichter/in EFZ,Meggen (LU),"
1 Lehrstelle(n)
"
16,casa-technica.ch,Abdichter/in EFZ,Näfels (GL),"
1 Lehrstelle(n)
"
17,Ackermann Gebäudehüllen GmbH,Abdichter/in EFZ,Niederurnen (GL),"
1 Lehrstelle(n)
"
18,Schnyder Bedachungen,Abdichter/in EFZ,Pfäffikon SZ (SZ),"
1 Lehrstelle(n)
"
19,Bühler,Abdichter/in EFZ,Romanshorn (TG),"
1 Lehrstelle(n)
"
20,Maison Bornet SA,Abdichter/in EFZ,Sitten (VS),"
1 Lehrstelle(n)
"
21,Riget Dach AG,Abdichtungspraktiker/in EBA,Bilten (GL),"
1 Lehrstelle(n)
"
22,Schoop + Co. AG,Abdichtungspraktiker/in EBA,Dättwil AG (AG),"
2 Lehrstelle(n)
"
23,Tecton-Atisol AG,Abdichtungspraktiker/in EBA,Emmenbrücke (LU),"
2 Lehrstelle(n)
"
24,Etanchéité Camélique SA,Abdichtungspraktiker/in EBA,Farvagny-le-Grand (FR),"
1 Lehrstelle(n)
"
25,Schwager Bedachungen AG,Abdichtungspraktiker/in EBA,Fischingen (TG),"
1 Lehrstelle(n)
"
26,Kündig Josef AG,Abdichtungspraktiker/in EBA,Ibach (SZ),"
1 Lehrstelle(n)
"
27,Mathis Flachdach AG,Abdichtungspraktiker/in EBA,Kägiswil (OW),"
1 Lehrstelle(n)
"
28,casa-technica.ch,Abdichtungspraktiker/in EBA,Näfels (GL),"
1 Lehrstelle(n)
"
29,Ackermann Gebäudehüllen GmbH,Abdichtungspraktiker/in EBA,Niederurnen (GL),"
1 Lehrstelle(n)
"
30,Rebsamen Robert,Agrarpraktiker/in (Landwirtschaft) EBA,Auw (AG),"
1 Lehrstelle(n)
"
31,Glur Jonas,Agrarpraktiker/in (Landwirtschaft) EBA,Brittnau (AG),"
1 Lehrstelle(n)
"
32,Paul Stäheli,Agrarpraktiker/in (Landwirtschaft) EBA,Egnach (TG),"
1 Lehrstelle(n)
"
33,Marcel Weber,Agrarpraktiker/in (Landwirtschaft) EBA,Eschenz (TG),"
1 Lehrstelle(n)
"
34,Hansjörg Goldinger,Agrarpraktiker/in (Landwirtschaft) EBA,Homburg (TG),"
1 Lehrstelle(n)
"
35,Franz Meier,Agrarpraktiker/in (Landwirtschaft) EBA,Märstetten (TG),"
1 Lehrstelle(n)
"
36,Simon Schönholzer,Agrarpraktiker/in (Landwirtschaft) EBA,Schönholzerswilen (TG),"
1 Lehrstelle(n)
"
37,altra Ausbildung,Agrarpraktiker/in (Spezialkulturen) EBA,Schaffhausen (SH),"
2 Lehrstelle(n)
"
38,Rebsamen Robert,Agrarpraktiker/in (Landwirtschaft) EBA,Auw (AG),"
1 Lehrstelle(n)
"
39,Glur Jonas,Agrarpraktiker/in (Landwirtschaft) EBA,Brittnau (AG),"
1 Lehrstelle(n)
"
40,Paul Stäheli,Agrarpraktiker/in (Landwirtschaft) EBA,Egnach (TG),"
1 Lehrstelle(n)
"
41,Marcel Weber,Agrarpraktiker/in (Landwirtschaft) EBA,Eschenz (TG),"
1 Lehrstelle(n)
"
42,Hansjörg Goldinger,Agrarpraktiker/in (Landwirtschaft) EBA,Homburg (TG),"
1 Lehrstelle(n)
"
43,Franz Meier,Agrarpraktiker/in (Landwirtschaft) EBA,Märstetten (TG),"
1 Lehrstelle(n)
"
44,Simon Schönholzer,Agrarpraktiker/in (Landwirtschaft) EBA,Schönholzerswilen (TG),"
1 Lehrstelle(n)
"
45,altra Ausbildung,Agrarpraktiker/in (Spezialkulturen) EBA,Schaffhausen (SH),"
2 Lehrstelle(n)
"
46,EBAG Edelstahltechnik AG,Anlagen- und Apparatebauer/in EFZ,Alpnach Dorf (OW),"
1 Lehrstelle(n)
"
47,AZI Anlagenbau AG,Anlagen- und Apparatebauer/in EFZ,Altdorf UR (UR),"
1 Lehrstelle(n)
"
48,FITECH AG,Anlagen- und Apparatebauer/in EFZ,Amriswil (TG),"
1 Lehrstelle(n)
"
49,zweifel metall ag,Anlagen- und Apparatebauer/in EFZ,Amriswil (TG),"
1 Lehrstelle(n)
"
50,Morewa AG,Anlagen- und Apparatebauer/in EFZ,Auenstein (AG),"
1 Lehrstelle(n)
"
51,libs Industrielle Berufslehren Schweiz,Anlagen- und Apparatebauer/in EFZ,Baden (AG),"
2 Lehrstelle(n)
"
52,Meyer BlechTechnik AG Brittnau,Anlagen- und Apparatebauer/in EFZ,Brittnau (AG),"
1 Lehrstelle(n)
"
53,wirth+co ag,Anlagen- und Apparatebauer/in EFZ,Buchrain (LU),"
1 Lehrstelle(n)
"
54,TIG SA Tôlerie Industrielle de la Gruyère,Anlagen- und Apparatebauer/in EFZ,Bulle (FR),"
2 Lehrstelle(n)
"
55,Metalit AG,Anlagen- und Apparatebauer/in EFZ,Büron (LU),"
1 Lehrstelle(n)
"
56,Ascenseurs Schindler SA,Anlagen- und Apparatebauer/in EFZ,Bussigny (VD),"
2 Lehrstelle(n)
"
57,Egger Emile & Cie SA,Anlagen- und Apparatebauer/in EFZ,Cressier NE (NE),"
1 Lehrstelle(n)
"
